alpha,threshold,alloc,ret_pct,dd_pct,trades
8,0.625,0.9998,919.690623729,29.82166639674,64
8,0.63,0.995,916.143873729,29.28792614349753,64
8,0.63,0.997,920.442328729,29.28792614349753,64
8,0.63,0.998,880.6619634289999,29.82166639674,64
8,0.63,0.999,919.672328729,29.82166639674,64
8,0.63,0.9998,919.690623729,29.82166639674,64
8,0.635,0.995,916.143873729,29.28792614349753,64
8,0.635,0.997,920.442328729,29.28792614349753,64
8,0.635,0.998,880.6619634289999,29.82166639674,64
8,0.635,0.999,919.672328729,29.82166639674,64
8,0.635,0.9998,919.690623729,29.82166639674,64
8,0.64,0.995,916.143873729,29.28792614349753,64
8,0.64,0.997,920.442328729,29.28792614349753,64
8,0.64,0.998,880.6619634289999,29.82166639674,64
8,0.64,0.999,919.672328729,29.82166639674,64
8,0.64,0.9998,919.690623729,29.82166639674,64
8,0.645,0.995,916.143873729,29.28792614349753,64
8,0.645,0.997,920.442328729,29.28792614349753,64
8,0.645,0.998,880.6619634289999,29.82166639674,64
8,0.645,0.999,919.672328729,29.82166639674,64
8,0.645,0.9998,919.690623729,29.82166639674,64
8,0.65,0.995,916.143873729,29.28792614349753,64
8,0.65,0.997,920.442328729,29.28792614349753,64
8,0.65,0.998,880.6619634289999,29.82166639674,64
8,0.65,0.999,919.672328729,29.82166639674,64
8,0.65,0.9998,919.690623729,29.82166639674,64
8,0.655,0.995,916.143873729,29.28792614349753,64
8,0.655,0.997,920.442328729,29.28792614349753,64
8,0.655,0.998,880.6619634289999,29.82166639674,64
8,0.655,0.999,919.672328729,29.82166639674,64
8,0.655,0.9998,919.690623729,29.82166639674,64
8,0.66,0.995,916.143873729,29.28792614349753,64
8,0.66,0.997,920.442328729,29.28792614349753,64
8,0.66,0.998,880.6619634289999,29.82166639674,64
8,0.66,0.999,919.672328729,29.82166639674,64
8,0.66,0.9998,919.690623729,29.82166639674,64
8,0.665,0.995,916.143873729,29.28792614349753,64
8,0.665,0.997,920.442328729,29.28792614349753,64
8,0.665,0.998,880.6619634289999,29.82166639674,64
8,0.665,0.999,919.672328729,29.82166639674,64
8,0.665,0.9998,919.690623729,29.82166639674,64
8,0.67,0.995,916.143873729,29.28792614349753,64
8,0.67,0.997,920.442328729,29.28792614349753,64
8,0.67,0.998,880.6619634289999,29.82166639674,64
8,0.67,0.999,919.672328729,29.82166639674,64
8,0.67,0.9998,919.690623729,29.82166639674,64
8,0.675,0.995,916.143873729,29.28792614349753,64
8,0.675,0.997,920.442328729,29.28792614349753,64
8,0.675,0.998,880.6619634289999,29.82166639674,64
8,0.675,0.999,919.672328729,29.82166639674,64
8,0.675,0.9998,919.690623729,29.82166639674,64
8,0.68,0.995,916.143873729,29.28792614349753,64
8,0.68,0.997,920.442328729,29.28792614349753,64
8,0.68,0.998,880.6619634289999,29.82166639674,64
8,0.68,0.999,919.672328729,29.82166639674,64
8,0.68,0.9998,919.690623729,29.82166639674,64
8,0.685,0.995,916.143873729,29.28792614349753,64
8,0.685,0.997,920.442328729,29.28792614349753,64
8,0.685,0.998,880.6619634289999,29.82166639674,64
8,0.685,0.999,919.672328729,29.82166639674,64
