stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-04-01,16,t2_close,2,0.7,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,-69.83385963000003,70.56518784793838,55,-6602.056401382606
gen1,80,560,0.0214,0.000137,0.008,436,random_hp,2025-04-01,18,strong_hold_t3,2,0.62,1.0,-0.0005,0.0265,0.412,0.287,10,0.065,-52.14576196,66.37953481562673,57,-6082.089939835208
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-78.8178231,86.7059392430854,59,-8547.930532270248
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-66.74844994000001,76.99081599018285,61,-7370.046368761943
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-78.8178231,86.7059392430854,59,-8547.930532270248
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-66.74844994000001,76.99081599018285,61,-7370.046368761943
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,-78.8178231,86.7059392430854,59,-8547.930532270248
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,-66.74844994000001,76.99081599018285,61,-7370.046368761943
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-03-01,15,strong_hold_t3,3,0.66,0.999,-0.0005,0.0265,0.406,0.287,10,0.065,-29.36567347999993,44.47030871528358,62,-3430.2027193140293
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-04-01,18,t2_close,4,0.62,1.0,-0.001,0.0255,0.412,0.287,12,0.065,-64.94233459,65.61561283380969,66,-6003.215874647164
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,18,loss_rebound_t3,3,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,-1.5033747000000375,53.87473119411683,59,-4530.87111799402
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,17,t2_close,2,0.68,1.0,-0.0005,0.0255,0.406,0.275,10,0.06,-36.826291359999985,55.85017009289779,54,-4803.246702507735
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,17,loss_rebound_t3,4,0.62,0.999,-0.0005,0.0255,0.406,0.287,10,0.065,-46.730497830000076,65.8374202387617,64,-6011.620926481404
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-03-01,16,loss_rebound_t3,4,0.7,1.0,-0.0005,0.0255,0.406,0.287,10,0.065,-77.31303012000004,82.61202380000002,61,-8055.155886120003
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,16,loss_rebound_t3,3,0.62,0.999,-0.0005,0.0255,0.406,0.287,10,0.065,-67.95359162000001,82.25714636845231,59,-8003.2111558342785
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,18,loss_rebound_t3,4,0.62,1.0,-0.001,0.0255,0.406,0.287,10,0.065,-30.14229731000002,62.00239421112204,61,-5534.829602644645
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-04-01,15,t2_close,2,0.64,1.0,-0.0005,0.0265,0.406,0.287,10,0.06,-53.537749950000006,64.85356354999998,55,-5900.3653759499975
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-03-01,14,strong_hold_t3,4,0.7,1.0,-0.001,0.0255,0.406,0.275,10,0.065,-44.62046054000002,59.18154534000001,67,-5210.805901340001
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-02-01,15,strong_hold_t3,2,0.64,0.999,-0.001,0.0255,0.412,0.275,10,0.065,-37.34365593999996,54.67411077442603,54,-4662.636948871123
gen1,96,420,0.02,0.00025,0.011,437,random_hp,2025-04-01,18,loss_rebound_t3,4,0.66,1.0,-0.0005,0.0265,0.406,0.275,10,0.06,-26.76698363000004,58.81082247076833,61,-5148.4656801222
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,56.40182756000003,39.9208947115857,59,-2798.5055378302845
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,61.40616052000003,39.9208947115857,60,-2793.5012048702847
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-03-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,56.40182756000003,39.9208947115857,59,-2798.5055378302845
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-03-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,61.40616052000003,39.9208947115857,60,-2793.5012048702847
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-04-01,15,loss_rebound_t3,3,0.62,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,56.40182756000003,39.9208947115857,59,-2798.5055378302845
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-04-01,15,loss_rebound_t3,3,0.64,0.9998,-0.0005,0.0265,0.412,0.287,10,0.065,61.40616052000003,39.9208947115857,60,-2793.5012048702847
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,15,t2_close,4,0.66,0.9998,-0.001,0.0255,0.412,0.287,10,0.065,167.95347360315992,36.588247905714624,68,-2287.036275082595
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,17,strong_hold_t3,4,0.68,1.0,-0.0005,0.0255,0.412,0.287,10,0.065,37.46659768999994,47.09673821487468,63,-3678.541988094961
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,14,t2_close,4,0.66,0.9998,-0.0005,0.0255,0.412,0.275,12,0.065,128.73609866315982,44.15657439636925,71,-3234.4528289011505
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-03-01,17,strong_hold_t3,3,0.62,0.9998,-0.0005,0.0255,0.412,0.275,10,0.065,-26.719629969999993,61.32450173962719,57,-5450.059838725262
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-03-01,16,loss_rebound_t3,3,0.64,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,-8.687066219999961,49.147735840929755,60,-3970.8153671315713
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,18,t2_close,3,0.66,0.9998,-0.001,0.0255,0.406,0.275,12,0.06,-49.43555446000006,60.164477721858425,61,-5333.572881083011
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-02-01,17,t2_close,4,0.64,1.0,-0.001,0.0255,0.412,0.287,12,0.065,94.16226001403487,43.86804962849673,72,-3234.4036954055723
gen1,84,560,0.0211,0.000157,0.015,433,random_hp,2025-03-01,14,strong_hold_t3,4,0.7,1.0,-0.0005,0.0265,0.406,0.287,12,0.06,139.76962752316,27.719854502280693,64,-1251.0129127505234
