top_k,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades
2,0.65,0.9998,-0.0005,0.0275,1119.3367059658692,27.93417352535012,57
2,0.65,0.9998,0.0,0.0255,996.9805609658696,27.93417352535012,57
2,0.65,0.9998,0.0,0.0265,996.9805609658696,27.93417352535012,57
2,0.65,0.9998,0.0,0.0275,996.9805609658696,27.93417352535012,57
3,0.55,0.95,-0.001,0.0255,2449.900144102224,15.21983396377426,65
3,0.55,0.95,-0.001,0.0265,2449.900144102224,15.21983396377426,65
3,0.55,0.95,-0.001,0.0275,2449.900144102224,15.21983396377426,65
3,0.55,0.95,-0.0005,0.0255,2449.900144102224,15.21983396377426,65
3,0.55,0.95,-0.0005,0.0265,2449.900144102224,15.21983396377426,65
3,0.55,0.95,-0.0005,0.0275,2449.900144102224,15.21983396377426,65
3,0.55,0.95,0.0,0.0255,1965.940199915585,15.188537046686381,63
3,0.55,0.95,0.0,0.0265,1965.940199915585,15.188537046686381,63
3,0.55,0.95,0.0,0.0275,1965.940199915585,15.188537046686381,63
3,0.55,0.98,-0.001,0.0255,2810.155535388447,15.699890947589004,65
3,0.55,0.98,-0.001,0.0265,2810.155535388447,15.699890947589004,65
3,0.55,0.98,-0.001,0.0275,2810.155535388447,15.699890947589004,65
3,0.55,0.98,-0.0005,0.0255,2810.155535388447,15.699890947589004,65
3,0.55,0.98,-0.0005,0.0265,2810.155535388447,15.699890947589004,65
3,0.55,0.98,-0.0005,0.0275,2810.155535388447,15.699890947589004,65
3,0.55,0.98,0.0,0.0255,2264.60456263511,15.707308790747588,63
3,0.55,0.98,0.0,0.0265,2264.60456263511,15.707308790747588,63
3,0.55,0.98,0.0,0.0275,2264.60456263511,15.707308790747588,63
3,0.55,0.995,-0.001,0.0255,3021.8704883792298,15.91917664404822,65
3,0.55,0.995,-0.001,0.0265,3021.8704883792298,15.91917664404822,65
3,0.55,0.995,-0.001,0.0275,3021.8704883792298,15.91917664404822,65
3,0.55,0.995,-0.0005,0.0255,3021.8704883792298,15.91917664404822,65
3,0.55,0.995,-0.0005,0.0265,3021.8704883792298,15.91917664404822,65
3,0.55,0.995,-0.0005,0.0275,3021.8704883792298,15.91917664404822,65
3,0.55,0.995,0.0,0.0255,2391.341498985942,15.90934350254968,63
3,0.55,0.995,0.0,0.0265,2391.341498985942,15.90934350254968,63
3,0.55,0.995,0.0,0.0275,2391.341498985942,15.90934350254968,63
3,0.55,0.998,-0.001,0.0255,3031.0355084647726,15.970330460477403,65
3,0.55,0.998,-0.001,0.0265,3031.0355084647726,15.970330460477403,65
3,0.55,0.998,-0.001,0.0275,3031.0355084647726,15.970330460477403,65
3,0.55,0.998,-0.0005,0.0255,3031.0355084647726,15.970330460477403,65
3,0.55,0.998,-0.0005,0.0265,3031.0355084647726,15.970330460477403,65
3,0.55,0.998,-0.0005,0.0275,3031.0355084647726,15.970330460477403,65
3,0.55,0.998,0.0,0.0255,2421.781179071485,15.968523358289433,63
3,0.55,0.998,0.0,0.0265,2421.781179071485,15.968523358289433,63
3,0.55,0.998,0.0,0.0275,2421.781179071485,15.968523358289433,63
3,0.55,0.9998,-0.001,0.0255,3032.330230964772,16.01910595150687,65
3,0.55,0.9998,-0.001,0.0265,3032.330230964772,16.01910595150687,65
3,0.55,0.9998,-0.001,0.0275,3032.330230964772,16.01910595150687,65
3,0.55,0.9998,-0.0005,0.0255,3032.330230964772,16.01910595150687,65
3,0.55,0.9998,-0.0005,0.0265,3032.330230964772,16.01910595150687,65
3,0.55,0.9998,-0.0005,0.0275,3032.330230964772,16.01910595150687,65
3,0.55,0.9998,0.0,0.0255,2421.057801571485,16.03138098447767,63
3,0.55,0.9998,0.0,0.0265,2421.057801571485,16.03138098447767,63
3,0.55,0.9998,0.0,0.0275,2421.057801571485,16.03138098447767,63
3,0.6,0.95,-0.001,0.0255,2468.748024365574,15.21983396377426,64
3,0.6,0.95,-0.001,0.0265,2468.748024365574,15.21983396377426,64
3,0.6,0.95,-0.001,0.0275,2468.748024365574,15.21983396377426,64
3,0.6,0.95,-0.0005,0.0255,2468.748024365574,15.21983396377426,64
3,0.6,0.95,-0.0005,0.0265,2468.748024365574,15.21983396377426,64
3,0.6,0.95,-0.0005,0.0275,2468.748024365574,15.21983396377426,64
3,0.6,0.95,0.0,0.0255,1965.940199915585,15.188537046686381,63
3,0.6,0.95,0.0,0.0265,1965.940199915585,15.188537046686381,63
3,0.6,0.95,0.0,0.0275,1965.940199915585,15.188537046686381,63
3,0.6,0.98,-0.001,0.0255,2831.778210697596,15.699890947589004,64
3,0.6,0.98,-0.001,0.0265,2831.778210697596,15.699890947589004,64
3,0.6,0.98,-0.001,0.0275,2831.778210697596,15.699890947589004,64
3,0.6,0.98,-0.0005,0.0255,2831.778210697596,15.699890947589004,64
3,0.6,0.98,-0.0005,0.0265,2831.778210697596,15.699890947589004,64
3,0.6,0.98,-0.0005,0.0275,2831.778210697596,15.699890947589004,64
3,0.6,0.98,0.0,0.0255,2264.60456263511,15.707308790747588,63
3,0.6,0.98,0.0,0.0265,2264.60456263511,15.707308790747588,63
3,0.6,0.98,0.0,0.0275,2264.60456263511,15.707308790747588,63
3,0.6,0.995,-0.001,0.0255,3045.10294704843,15.91917664404822,64
3,0.6,0.995,-0.001,0.0265,3045.10294704843,15.91917664404822,64
3,0.6,0.995,-0.001,0.0275,3045.10294704843,15.91917664404822,64
3,0.6,0.995,-0.0005,0.0255,3045.10294704843,15.91917664404822,64
3,0.6,0.995,-0.0005,0.0265,3045.10294704843,15.91917664404822,64
3,0.6,0.995,-0.0005,0.0275,3045.10294704843,15.91917664404822,64
3,0.6,0.995,0.0,0.0255,2391.341498985942,15.90934350254968,63
3,0.6,0.995,0.0,0.0265,2391.341498985942,15.90934350254968,63
3,0.6,0.995,0.0,0.0275,2391.341498985942,15.90934350254968,63
3,0.6,0.998,-0.001,0.0255,3054.1691471339727,15.970330460477403,64
3,0.6,0.998,-0.001,0.0265,3054.1691471339727,15.970330460477403,64
3,0.6,0.998,-0.001,0.0275,3054.1691471339727,15.970330460477403,64
3,0.6,0.998,-0.0005,0.0255,3054.1691471339727,15.970330460477403,64
3,0.6,0.998,-0.0005,0.0265,3054.1691471339727,15.970330460477403,64
3,0.6,0.998,-0.0005,0.0275,3054.1691471339727,15.970330460477403,64
3,0.6,0.998,0.0,0.0255,2421.781179071485,15.968523358289433,63
3,0.6,0.998,0.0,0.0265,2421.781179071485,15.968523358289433,63
3,0.6,0.998,0.0,0.0275,2421.781179071485,15.968523358289433,63
3,0.6,0.9998,-0.001,0.0255,3055.384797133972,16.01910595150687,64
3,0.6,0.9998,-0.001,0.0265,3055.384797133972,16.01910595150687,64
3,0.6,0.9998,-0.001,0.0275,3055.384797133972,16.01910595150687,64
3,0.6,0.9998,-0.0005,0.0255,3055.384797133972,16.01910595150687,64
3,0.6,0.9998,-0.0005,0.0265,3055.384797133972,16.01910595150687,64
3,0.6,0.9998,-0.0005,0.0275,3055.384797133972,16.01910595150687,64
3,0.6,0.9998,0.0,0.0255,2421.057801571485,16.03138098447767,63
3,0.6,0.9998,0.0,0.0265,2421.057801571485,16.03138098447767,63
3,0.6,0.9998,0.0,0.0275,2421.057801571485,16.03138098447767,63
