stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,score_base_start,alpha,sell_rule,top_k,threshold,alloc,gap_min,gap_max,max_broken_rate,min_red_rate,max_limit_down,max_pullback,ret_pct,dd_pct,trades,obj
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,strong_hold_t3,3,0.64,1.0,-0.0005,0.0255,0.406,0.287,10,0.06,1246.7337998108242,22.168916708320396,59,522.0637948123766
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,strong_hold_t3,4,0.7,1.0,-0.001,0.0255,0.406,0.287,10,0.065,511.55208929963976,30.80083914800079,63,-1248.948608460455
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,3,0.62,0.999,-0.001,0.0255,0.412,0.275,10,0.065,2425.5879936272695,32.889235903398,63,414.47968521950907
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,strong_hold_t3,3,0.66,0.999,-0.001,0.0255,0.406,0.287,10,0.065,973.7539026397596,36.62216682892888,59,-1485.3061168317065
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,t2_close,2,0.66,1.0,-0.0005,0.0265,0.406,0.287,12,0.065,546.91695647191,48.12170713684812,58,-3292.087899949865
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,strong_hold_t3,4,0.66,0.999,-0.001,0.0255,0.406,0.275,12,0.065,283.93539902159023,36.563071008871574,62,-2168.033122042999
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,loss_rebound_t3,3,0.62,1.0,-0.001,0.0255,0.406,0.287,12,0.065,478.0352159329349,40.729678504126426,63,-2473.9262045622363
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,loss_rebound_t3,4,0.64,0.9998,-0.001,0.0255,0.412,0.287,12,0.065,319.32210882059496,45.717416074856224,66,-3231.167820162152
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,strong_hold_t3,3,0.64,1.0,-0.0005,0.0265,0.412,0.287,12,0.065,513.9396234507798,23.941522183779508,60,-423.44303860276125
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,strong_hold_t3,2,0.62,1.0,-0.001,0.0255,0.406,0.287,10,0.065,873.3976988585504,21.04217430050745,57,283.93678279765606
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,t2_close,2,0.66,0.999,-0.0005,0.0255,0.406,0.287,10,0.06,1527.5058497394778,19.11557618370554,56,1169.236707694813
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,16,t2_close,4,0.68,0.999,-0.001,0.0255,0.406,0.275,12,0.06,478.65923711001716,39.48424296180556,66,-2323.8499183066506
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,strong_hold_t3,3,0.7,0.9998,-0.0005,0.0265,0.412,0.275,10,0.065,1256.2045924825736,22.168916708320396,58,531.5345874841261
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,2,0.62,1.0,-0.001,0.0255,0.406,0.275,12,0.06,856.9102510003373,19.11557618370554,60,498.64110895567256
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,18,loss_rebound_t3,3,0.62,1.0,-0.0005,0.0255,0.412,0.275,12,0.065,316.3782790293927,45.792563053787106,63,-3243.1292874250603
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,t2_close,3,0.68,0.9998,-0.0005,0.0255,0.406,0.287,10,0.06,2255.41345612727,37.24303394627903,63,-278.15061742621356
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,14,loss_rebound_t3,4,0.62,1.0,-0.0005,0.0255,0.406,0.275,12,0.06,605.4696914654004,39.18381787767662,67,-2160.9884538557935
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,15,loss_rebound_t3,2,0.7,0.9998,-0.0005,0.0255,0.412,0.275,10,0.065,1119.3367059658692,27.93417352535012,57,-297.1641170761452
stage2,88,500,0.021,0.0002,0.01,440,incumbent,2025-02-01,17,t2_close,4,0.68,1.0,-0.001,0.0255,0.412,0.287,10,0.06,473.3892776173202,35.154093338465216,65,-1809.501922998506
