stage,hidden,epochs,lr,weight_decay,target_gt,seed,tag,alpha,threshold,alloc,gap_min,gap_max,ret_pct,dd_pct,trades,obj
stage1,88,500,0.021,0.0002,0.01,443,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,300.87886219000006,33.42701721571109,62,-1774.7632036953307
stage1,88,500,0.021,0.0002,0.01,443,seed_scan_base,15,0.6,0.998,-0.001,0.0255,255.14643968999997,33.42701721571109,61,-1820.4956261953307
stage1,88,520,0.0205,0.0002,0.01,443,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,256.11477219,33.42701721571109,61,-1819.5272936953309
stage1,88,520,0.0205,0.0002,0.01,443,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,256.11477219,33.42701721571109,61,-1819.5272936953309
stage1,88,520,0.0205,0.0002,0.01,443,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,300.87886219000006,33.42701721571109,62,-1774.7632036953307
stage1,88,520,0.0205,0.0002,0.01,443,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,255.14643968999997,33.42701721571109,61,-1820.4956261953307
stage1,88,500,0.021,0.0002,0.01,444,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.0002,0.01,444,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.0002,0.01,444,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,-19.223458359999956,54.708024848493,60,-4648.5864401791605
stage1,88,500,0.021,0.0002,0.01,444,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,520,0.0205,0.0002,0.01,444,seed_scan_e520,15,0.6,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,520,0.0205,0.0002,0.01,444,seed_scan_e520,15,0.62,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,520,0.0205,0.0002,0.01,444,seed_scan_e520,15,0.64,0.9998,-0.0005,0.0265,-19.223458359999956,54.708024848493,60,-4648.5864401791605
stage1,88,520,0.0205,0.0002,0.01,444,seed_scan_e520,15,0.6,0.998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.00016,0.01,444,seed_scan_wd16,15,0.6,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.00016,0.01,444,seed_scan_wd16,15,0.62,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.00016,0.01,444,seed_scan_wd16,15,0.64,0.9998,-0.0005,0.0265,-19.223458359999956,54.708024848493,60,-4648.5864401791605
stage1,88,500,0.021,0.00016,0.01,444,seed_scan_wd16,15,0.6,0.998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.0215,0.00022,0.01,444,seed_scan_lr215,15,0.6,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.0215,0.00022,0.01,444,seed_scan_lr215,15,0.62,0.9998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.0215,0.00022,0.01,444,seed_scan_lr215,15,0.64,0.9998,-0.0005,0.0265,-19.223458359999956,54.708024848493,60,-4648.5864401791605
stage1,88,500,0.0215,0.00022,0.01,444,seed_scan_lr215,15,0.6,0.998,-0.001,0.0255,-22.300466480000004,63.325638320622076,58,-5685.77706495465
stage1,88,500,0.021,0.0002,0.01,445,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,-59.94131166999992,69.67436248777575,57,-6485.264810203091
stage1,88,500,0.021,0.0002,0.01,445,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,-59.94131166999992,69.67436248777575,57,-6485.264810203091
stage1,88,500,0.021,0.0002,0.01,445,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,-54.70371716999997,71.70502450505597,60,-6723.706657776717
stage1,88,500,0.021,0.0002,0.01,445,seed_scan_base,15,0.6,0.998,-0.001,0.0255,-58.53131166999992,68.60694988205111,57,-6355.765297516134
stage1,88,500,0.021,0.0002,0.01,446,seed_scan_base,15,0.6,0.9998,-0.001,0.0255,168.3729391199999,42.31929964312363,64,-2974.3430180548357
stage1,88,500,0.021,0.0002,0.01,446,seed_scan_base,15,0.62,0.9998,-0.001,0.0255,168.3729391199999,42.31929964312363,64,-2974.3430180548357
stage1,88,500,0.021,0.0002,0.01,446,seed_scan_base,15,0.64,0.9998,-0.0005,0.0265,105.0089118299999,42.489599282081706,63,-3058.143002019805
stage1,88,500,0.021,0.0002,0.01,446,seed_scan_base,15,0.6,0.998,-0.001,0.0255,169.4255566199999,42.31929964312363,64,-2973.2904005548357
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.998,-0.0005,0.0265,2358.9755060124385,15.999178014619474,65,2358.9755060124385
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.001,0.0255,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.58,0.9998,-0.0005,0.0265,2380.280501012439,15.999870695542374,65,2380.280501012439
stage2,88,500,0.021,0.0002,0.01,440,incumbent,14,0.6,0.998,-0.001,0.0255,2358.9755060124385,15.999178014619474,65,2358.9755060124385
