操作日期,操作时间,股票代码,股票名称,操作（买or卖）,操作价格,操作原因,总资产
2025-05-12,15:00:00,000559,万向钱潮,sell,9.066,T+2收盘回撤18.07%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13630.13
2025-05-14,09:30:00,000520,凤凰航运,buy,5.090,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13625.13
2025-05-15,15:00:00,000520,凤凰航运,sell,5.500,T+2收盘回撤8.06%未触发延长，T+2收盘卖出 (no intraday-high optimization).,14481.13
2025-05-20,09:30:00,000014,沙河股份,buy,12.000,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",14476.13
2025-05-21,15:00:00,000014,沙河股份,sell,11.680,T+2收盘回撤-2.67%未触发延长，T+2收盘卖出 (no intraday-high optimization).,14183.13
2025-05-23,09:30:00,301105,鸿铭股份,buy,40.180,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",14178.13
2025-05-27,15:00:00,301105,鸿铭股份,sell,36.270,T+2收盘回撤-8.79%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,13391.13
2025-06-03,09:30:00,001212,中旗新材,buy,56.990,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13386.13
2025-06-05,15:00:00,001212,中旗新材,sell,46.690,T+2收盘回撤-13.25%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,12351.13
2025-06-09,09:30:00,000506,招金黄金,buy,9.000,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12346.13
2025-06-10,15:00:00,000506,招金黄金,sell,9.000,T+2收盘回撤0.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12341.13
2025-06-17,09:30:00,000554,泰山石油,buy,7.651,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12336.13
2025-06-18,15:00:00,000554,泰山石油,sell,7.612,T+2收盘回撤-0.51%未触发延长，T+2收盘卖出 (no intraday-high optimization).,12284.04
2025-06-20,09:30:00,002490,山东墨龙,buy,6.550,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",12279.04
2025-06-23,15:00:00,002490,山东墨龙,sell,7.720,T+2收盘回撤17.86%未触发延长，T+2收盘卖出 (no intraday-high optimization).,13912.04
2025-06-26,09:30:00,001298,好上好,buy,25.100,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",13907.04
2025-06-27,15:00:00,001298,好上好,sell,29.490,T+2收盘回撤17.49%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15658.04
2025-07-01,09:30:00,600152,维科技术,buy,7.600,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",15653.04
2025-07-02,15:00:00,600152,维科技术,sell,7.400,T+2收盘回撤-2.63%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15328.04
2025-07-08,09:30:00,000014,沙河股份,buy,12.310,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",15323.04
2025-07-09,15:00:00,000014,沙河股份,sell,12.520,T+2收盘回撤1.71%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15507.04
2025-07-11,09:30:00,300996,普联软件,buy,19.500,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",15502.04
2025-07-14,15:00:00,300996,普联软件,sell,19.500,T+2收盘回撤0.00%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15497.04
2025-07-16,09:30:00,002209,达意隆,buy,17.190,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",15492.04
2025-07-17,15:00:00,002209,达意隆,sell,17.090,T+2收盘回撤-0.58%未触发延长，T+2收盘卖出 (no intraday-high optimization).,15417.04
2025-07-21,09:30:00,002265,建设工业,buy,33.670,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",15412.04
2025-07-22,15:00:00,002265,建设工业,sell,39.510,T+2收盘回撤17.34%未触发延长，T+2收盘卖出 (no intraday-high optimization).,17159.04
2025-07-25,09:30:00,002030,达安基因,buy,7.260,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",17154.04
2025-07-28,15:00:00,002030,达安基因,sell,7.360,T+2收盘回撤1.38%未触发延长，T+2收盘卖出 (no intraday-high optimization).,17329.04
2025-07-31,09:30:00,000785,居然智家,buy,3.160,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",17324.04
2025-08-04,15:00:00,000785,居然智家,sell,2.940,T+2收盘回撤-4.43%<=-3%，延长到T+3收盘卖出 (no intraday-high optimization).,16373.04
2025-08-06,09:30:00,000901,航天科技,buy,14.920,"model=i0001c04, alpha=5; score>=threshold; gap_filter=[-1.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",16368.04
